# YR MO   PREDICTED    HIGH    LOW   
#------------------------------------
(2016, 04,     29.5,    30.5,    28.5),
(2016, 05,     29.4,    31.4,    27.4),
(2016, 06,     29.3,    32.3,    26.3),
(2016, 07,     29.2,    34.2,    24.2),
(2016, 08,     29.0,    34.0,    24.0),
(2016, 09,     28.8,    34.8,    22.8),
(2016, 10,     29.0,    36.0,    22.0),
(2016, 11,     29.1,    36.1,    22.1),
(2016, 12,     29.5,    37.5,    21.5),
(2017, 01,     30.3,    39.3,    21.3),
(2017, 02,     30.2,    39.2,    21.2),
(2017, 03,     29.7,    39.7,    19.7),
(2017, 04,     28.9,    38.9,    18.9),
(2017, 05,     27.4,    37.4,    17.4),
(2017, 06,     26.1,    36.1,    16.1),
(2017, 07,     24.9,    34.9,    14.9),
(2017, 08,     23.7,    33.7,    13.7),
(2017, 09,     22.5,    32.5,    12.5),
(2017, 10,     21.4,    31.4,    11.4),
(2017, 11,     20.3,    30.3,    10.3),
(2017, 12,     19.2,    29.2,     9.2),
(2018, 01,     18.2,    28.2,     8.2),
(2018, 02,     17.2,    27.2,     7.2),
(2018, 03,     16.3,    26.3,     6.3),
(2018, 04,     15.4,    25.4,     5.4),
(2018, 05,     14.5,    24.5,     4.5),
(2018, 06,     13.7,    23.7,     3.7),
(2018, 07,     12.9,    22.9,     2.9),
(2018, 08,     12.2,    22.2,     2.2),
(2018, 09,     11.5,    21.5,     1.5),
(2018, 10,     10.8,    20.8,     0.8),
(2018, 11,     10.1,    20.1,     0.1),
(2018, 12,      9.5,    19.5,     0.0),
(2019, 01,      8.9,    18.9,     0.0),
(2019, 02,      8.3,    18.3,     0.0),
(2019, 03,      7.8,    17.8,     0.0),
(2019, 04,      7.3,    17.3,     0.0),
(2019, 05,      6.8,    16.8,     0.0),
(2019, 06,      6.4,    16.4,     0.0),
(2019, 07,      5.9,    15.9,     0.0),
(2019, 08,      5.5,    15.5,     0.0),
(2019, 09,      5.1,    15.1,     0.0),
(2019, 10,      4.8,    14.8,     0.0),
(2019, 11,      4.4,    14.4,     0.0),
(2019, 12,      4.1,    14.1,     0.0)
